inspection_id,campaign_alert,inspection_created_at,prefeitura,gov_do_estado,vereadores,ass_legislativa,fnde,cgu,inspection_last_updated,user_id,project_id,funded_by,location_city,state,inspection_status,entity_who_answered,answer_content,valid_answer
556,0,2018-07-27T17:06:18.597271Z,1,0,1,0,0,1,2018-12-11T12:58:38.536256Z,2459,1010678,1,Gravataí,RS,answered,Controladoria-Geral da União,"Manifestação concluída em 13/09/2018 18:29 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezado (a),
Após análise, a Diretoria de Gestão, Articulação e Projetos Educacionais informou que:
Em resposta à Manifestação 00106.016148/2018-15, destacamos que as informações a respeito da obra ID 1010678 (E.M.E.I. COHAB C), objeto do Termo de Compromisso 11311/2014, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1010678. A Prefeitura de Gravataí/RS deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
Colocamo-nos à disposição para quaisquer esclarecimentos.
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)",1
557,0,2018-07-27T17:22:35.081617Z,1,0,1,0,0,1,2018-12-11T12:59:46.830083Z,2459,1010679,1,Gravataí,RS,answered,Controladoria-Geral da União,"Manifestação concluída em 13/09/2018 18:19 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezado (a),
 
Após análise, a Diretoria de Gestão, Articulação e Projetos Educacionais informou que:
 
Em resposta à Manifestação 00106.016142/2018-48, destacamos que as informações a respeito da obra ID 1010679 (E.M.E.I. RAIO DE SOL), objeto do Termo de Compromisso 11311/2014, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1010679. A Prefeitura de Gravataí/RS deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
Colocamo-nos à disposição para quaisquer esclarecimentos.
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
701,0,2018-12-12T14:21:46.361649Z,1,0,1,0,1,0,2019-03-08T17:50:53.510122Z,6458,1011013,1,Gravataí,RS,not answered,,,
77,0,2017-06-17T19:54:31.905677Z,0,0,0,0,1,0,2019-02-25T16:57:10.089790Z,6,1001628,1,Três Corações,MG,not answered,,,
79,0,2017-06-17T19:56:53.521001Z,0,0,0,0,1,0,2019-02-25T16:58:28.987584Z,6,1001628,1,Três Corações,MG,not answered,,,
107,0,2017-06-26T14:57:49.432380Z,0,0,0,0,1,0,2019-02-25T16:59:13.287314Z,6,24353,1,Três Corações,MG,not answered,,,
110,0,2017-06-26T15:06:53.197745Z,0,0,0,0,1,0,2019-02-25T17:01:22.748334Z,6,1001629,1,Três Corações,MG,not answered,,,
111,0,2017-06-26T15:07:24.035452Z,0,0,0,0,1,0,2019-02-25T17:02:07.537429Z,6,1001629,1,Três Corações,MG,not answered,,,
112,0,2017-06-26T15:07:55.140155Z,0,0,0,0,1,0,2019-02-25T17:03:52.738698Z,6,1001629,1,Três Corações,MG,not answered,,,
148,0,2017-08-19T01:14:25.664161Z,1,0,1,0,1,1,2017-09-27T20:19:33.742260Z,431,1017125,1,Pirapozinho,SP,not answered,,,
520,0,2018-06-09T05:06:33.356574Z,1,0,1,0,0,1,2018-12-11T13:35:03.894540Z,91,1006081,1,Goioerê,PR,answered,Controladoria-Geral da União,"Manifestação concluída em 14/09/2018 16:00 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezado (a),
 
Reportamo-nos à Manifestação 00106.015337/2018-71.
 
Após análise, a Diretoria de Gestão, Articulação e Projetos Educacionais – DIGAP informou que:
 
As informações a respeito da obra ID 1006081 (Unidade Proinfância Jardim das Américas), objeto do Termo de Compromisso 7227/2013, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1006081. A Prefeitura de Goioerê/PR deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
 Colocamo-nos à disposição para quaisquer esclarecimentos.
 
Respeitosamente,”
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
560,0,2018-07-27T17:44:16.449400Z,1,0,1,0,0,1,2018-12-11T13:05:36.018198Z,3079,1011013,1,Gravataí,RS,answered,Controladoria-Geral da União,"Manifestação concluída em 13/09/2018 19:25 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezados,
 
Encaminhe-se a resposta da Manifestação abaixo:
 
 
 
Em resposta à Manifestação, destacamos que as informações a respeito da obra ID 1011013 (E.M.E.I. FAVO DE MEL), objeto do Termo de Compromisso 9871/2014, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1011013. A Prefeitura de Gravataí/RS deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
                        Colocamo-nos à disposição para quaisquer esclarecimentos.
 
 
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
564,0,2018-07-31T17:00:35.663032Z,1,0,1,0,0,1,2018-12-11T13:08:37.585254Z,3217,1010681,1,Gravataí,RS,answered,Controladoria-Geral da União,"Manifestação concluída em 05/09/2018 15:09 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezado (a),

Reportamo-nos à manifestação nº 00106.016136/2018-91.

Após análise, a Diretoria de Gestão, Articulação e Projetos Educacionais informou que:

As informações a respeito da obra ID 1010681 (E.M.E.I. Bem Me Quer), objeto do Termo de Compromisso 7737/2013, podem ser consultadas no link:  http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1010681. A Prefeitura de Gravataí/RS deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  

Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.

Colocamo-nos à disposição para quaisquer esclarecimentos.

Atenciosamente,

OUVIDORIA

Fundo Nacional de Desenvolvimento da Educação - FNDE'""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
565,0,2018-07-31T17:11:59.489220Z,1,0,1,0,0,1,2018-12-11T13:09:13.922174Z,3079,1010681,1,Gravataí,RS,answered,Controladoria-Geral da União,"Manifestação concluída em 05/09/2018 15:04 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezado (a),

Reportamo-nos à manifestação nº 00106.016136/2018-91.

Após análise, a Diretoria de Gestão, Articulação e Projetos Educacionais informou que:

As informações a respeito da obra ID 1010681 (E.M.E.I. Bem Me Quer), objeto do Termo de Compromisso 7737/2013, podem ser consultadas no link:  http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1010681. A Prefeitura de Gravataí/RS deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  

Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.

Colocamo-nos à disposição para quaisquer esclarecimentos.

Atenciosamente,

OUVIDORIA

Fundo Nacional de Desenvolvimento da Educação - FNDE'""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
568,0,2018-08-04T14:57:52.689933Z,1,0,0,0,0,1,2019-02-23T00:05:34.626756Z,3713,1012719,1,Pirapemas,MA,answered,Controladoria-Geral da União,"Manifestação concluída em 17/09/2018 11:09 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezados Senhores, 
 
 
Encaminhe-se a resposta da Manifestação abaixo, para conhecimento e providências subsequentes.
 
 
•	Em resposta à manifestação, destacamos que as informações a respeito da obra ID 1012719 (Rua da Reciclagem, Bairro Estrada de Matões), objeto do Termo de Compromisso 8796/2014, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1012719. A Prefeitura de Pirapemas/MA deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
Colocamo-nos à disposição para quaisquer esclarecimentos.
 
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE"" 

Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
572,0,2018-08-04T16:21:44.676185Z,0,1,0,0,0,1,2018-12-11T13:10:25.132476Z,3533,11255,2,Coroatá,MA,answered,Controladoria-Geral da União,"Manifestação concluída em 03/09/2018 09:01 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezado (a),
 
Após análise, a Diretoria de Gestão, Articulação e Projetos Educacionais informou que: 
 
Em atendimento à Manifestação 00106.016392/2018-88, que solicita informações sobre a construção da Escola Padrão SECTEC/MA - Brasil Profissionalizado - Coroatá/MA, objeto do Convênio nº 658393/2009 firmado entre a Secretaria de Estado da Ciência, Tecnologia e Inovação do Maranhão e o Fundo Nacional de Desenvolvimento da Educação - FNDE, esclarecemos que, após consulta ao Sistema Integrado de Monitoramento, Execução e Controle – SIMEC, a obra ID 11255 está em execução e apresenta avanço físico de 99,87%, conforme indica o relatório de vistoria elaborado em 23/08/2018 pelo engenheiro responsável. 
 
O valor conveniado é de R$ 16.978.178,12 (foram pactuados 8 espaços educativos), participando esta Autarquia com R$ 16.752.554,49 e o Convenente com R$ 225.623,63, a título de contrapartida. O FNDE repassou a integralidade dos recursos. Vale destacar que o instrumento encontra-se vigente até 24/10/2018. 
 
Outrossim, ressaltamos que o Convenente é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
Por fim, cumpre registrar que os dados referentes à obra podem ser consultados no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=11255.
 
Colocamo-nos à disposição para quaisquer esclarecimentos.
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE""

Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
579,0,2018-08-06T19:00:32.268740Z,1,0,0,0,0,1,2018-12-11T13:13:27.883693Z,3502,1015389,1,Nova Santa Rita,RS,answered,Controladoria-Geral da União,"Manifestação concluída em 13/09/2018 19:16 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezados,
 
Encaminhe-se a resposta da Manifestação abaixo:
 
 
Em resposta à Manifestação 00106.016389/2018-64, destacamos que as informações a respeito da obra ID 1015389 (Escola Municipal de Ensino Fundamental Treze de Maio), objeto do Termo de Compromisso 34115/2014, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1015389. A Prefeitura de Nova Santa Rita/RS deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
                        Colocamo-nos à disposição para quaisquer esclarecimentos.
 
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
613,0,2018-08-21T22:05:32.014380Z,1,0,0,0,0,1,2018-12-11T13:17:01.945521Z,4067,1009540,1,Bragança,PA,answered,Controladoria-Geral da União,Manifestação concluída em 16/10/2018 09:55 por Elicicilia dos Santos Batista: Demanda está sendo tratada por outro protocolo.,1
569,0,2018-08-04T15:00:07.282261Z,1,0,0,0,0,1,2019-02-23T00:05:53.600663Z,3713,1012719,1,Pirapemas,MA,answered,Controladoria-Geral da União,"Manifestação concluída em 17/09/2018 11:08 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezados Senhores, 
 
 
Encaminhe-se a resposta da Manifestação abaixo, para conhecimento e providências subsequentes.
 
 
•	Em resposta à Manifestação 00106.016397/2018-19, destacamos que as informações a respeito da obra ID 1012719 (Rua da Reciclagem, Bairro Estrada de Matões), objeto do Termo de Compromisso 8796/2014, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1012719. A Prefeitura de Pirapemas/MA deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
Colocamo-nos à disposição para quaisquer esclarecimentos.
 
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE"" 

Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
589,0,2018-08-10T18:34:40.071861Z,1,0,0,0,0,0,2018-08-14T22:43:35.517306Z,3702,1001859,1,Nova Serrana,MG,answered,Prefeitura Municipal de Nova Serrana,A obra não está paralisada. Temos 03 unidades sendo construídas no município pela mesma empresa. As outras duas obras estão sendo construídas nos Bairros Adalberto Ferreira e Jardim América. Os recursos são disponibilizados pelo FNDE. Os repasses não estão ocorrendo de forma regular. Com isso o andamento no processo executivo está desalinhado com o cronograma físico-financeiro. A previsão para a conclusão da obra é 12/2018. ,1
627,0,2018-08-28T22:04:00.317414Z,1,0,0,0,0,0,2018-09-03T17:29:24.554083Z,4603,1009353,1,Itapeva,SP,answered,Prefeitura Municipal de Itapeva,"Bom dia!
O município recebeu os recursos referente a esta obra em Abril/2017, tomou as providências administrativas quanto as peças orçamentárias, entretanto, a empresa responsável por esta obra, e, também por uma outra obra também do FNDE, abandonou as obras, esta chegou a ser iniciada no final do ano, sem avanços em 2018 pois tivemos que fazer rescisão unilateral com a empresa.
A empresa foi notificada, os procedimentos jurídicos tomados, e, o município está em trâmites para nova licitação para execução da mesma.
Os recursos recebidos encontram-se na conta corrente 422169 Ag. 510 destinada pelo FNDE, assim que concluir o processo licitatório, a obra será retomada.",1
234,0,2017-10-15T15:08:05.704552Z,1,0,1,0,1,1,2018-01-17T16:02:42.724098Z,1643,1016571,1,Maracaçumé,MA,answered,Fundo Nacional de Desenvolvimento da Educação,"Prezado (a),
 
Visando maior controle e agilidade na análise, esta Ouvidoria aderiu ao Sistema de Ouvidorias do Poder Executivo Federal  (e-Ouv) como canal de recebimento de manifestações.

Portanto, pedimos que direcione sua manifestação para https://sistema.ouvidorias.gov.br onde estaremos à disposição para atendê-lo(a).

OUVIDORIA DO FNDE
",0
